2025-06-04 09:33:46
Parameters:
init_smi: CC
program_name: cc
output_path: .\case3\results
pocket_file: .\case3\imatinib_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 8000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
527,0.788,0.5,4.626,CCCC(C)(O)O
528,0.744,0.402,4.12,C1=CCC=C1
529,0.723,0.229,4.458,CCOOCO
530,0.723,0.229,4.458,CCOOCO
531,0.723,0.229,4.458,CCOOCO
532,0.723,0.229,4.458,CCOOCO
533,0.723,0.229,4.458,CCOOCO
534,0.662,0.212,4.239,CCOOC#N
535,0.662,0.212,4.239,CCOOC#N
536,0.777,0.354,4.197,CCOOC
537,0.765,0.29,4.315,COOCCN
538,0.769,0.345,4.404,OCCOO
539,0.891,0.407,3.994,CCO
540,0.808,0.448,4.207,C=C(C)CO
541,0.808,0.448,4.207,C=C(C)CO
542,0.809,0.434,4.317,CC(N)CO
543,0.699,0.489,4.42,C=CC(=C)CO
544,0.797,0.472,4.105,C=CCCO
545,0.699,0.489,4.42,C=CC(=C)CO
546,0.699,0.489,4.42,C=CC(=C)CO
547,0.699,0.489,4.42,C=CC(=C)CO
548,0.808,0.448,4.207,C=C(C)CO
549,0.808,0.448,4.207,C=C(C)CO
550,0.58,0.287,4.996,C=CC(C)(N)ON
551,0.902,0.513,4.121,CCCCO
552,0.74,0.484,4.51,COCC(C)C=O
553,0.595,0.33,4.36,CC(N)(O)C=C=O
554,0.595,0.33,4.36,CC(N)(O)C=C=O
555,0.595,0.33,4.36,CC(N)(O)C=C=O
556,0.785,0.491,4.087,CC(O)CCO
557,0.744,0.475,4.179,CCC=C(O)O
558,0.573,0.319,4.395,NC=CON
